,player_x,player_y,player_name,time_remaining,shotClock,half,pos_id
7,35.07200479,19.72009538,Chris Lewis,1155,21,1,3
8,16.83310973,7.895057609,Noah Kirkwood,1155,21,1,3
9,15.63054522,15.711608,Justin Bassey,1155,21,1,3
10,34.87157737,10.70099877,Robert Baker,1155,21,1,3
11,36.87585156,22.92688528,ball,1155,21,1,3
1,34.27029512,26.53452392,Devon Goodman,1154,20,1,3
2,38.4792709,22.1251878,AJ Brodeur,1154,20,1,3
3,6.410883976,16.11245674,Jordan Dingle,1154,20,1,3
4,2.40233561,5.89081392,Ryan Betley,1154,20,1,3
5,29.46003708,4.888692075,Max Martz,1154,20,1,3
6,35.87371446,21.32349033,Christian Juzang,1154,20,1,3
7,37.47713381,18.31712479,Chris Lewis,1154,20,1,3
8,16.63268231,8.095481978,Noah Kirkwood,1154,20,1,3
9,16.43225489,15.91203237,Justin Bassey,1154,20,1,3
10,32.46644835,9.298028192,Robert Baker,1154,20,1,3
11,33.66901286,26.73494829,ball,1154,20,1,3
1,23.41380588,14.84310342,Devon Goodman,1153,19,1,3
2,35.10540732,22.1251878,AJ Brodeur,1153,19,1,3
3,9.851552617,20.52179285,Jordan Dingle,1153,19,1,3
4,3.63830265,6.291662658,Ryan Betley,1153,19,1,3
5,36.10754441,3.084872755,Max Martz,1153,19,1,3
6,24.88360899,14.70948615,Christian Juzang,1153,19,1,3
7,32.7002783,19.51967101,Chris Lewis,1153,19,1,3
8,17.66822193,7.69463324,Noah Kirkwood,1153,19,1,3
9,16.86651226,16.71372984,Justin Bassey,1153,19,1,3
10,29.29301219,8.696755085,Robert Baker,1153,19,1,3
11,22.87933481,14.70948615,ball,1153,19,1,3
1,18.83738391,3.485721493,Devon Goodman,1152,18,1,3
2,31.26388384,21.72433907,AJ Brodeur,1152,18,1,3
3,5.609174302,16.91415421,Jordan Dingle,1152,18,1,3
4,3.404472701,6.492087027,Ryan Betley,1152,18,1,3
5,42.8886741,6.291662658,Max Martz,1152,18,1,3
6,19.63909358,4.487843338,Christian Juzang,1152,18,1,3
7,31.46431126,16.11245674,Chris Lewis,1152,18,1,3
8,14.62840813,6.692511396,Noah Kirkwood,1152,18,1,3
9,14.02712587,16.3128811,Justin Bassey,1152,18,1,3
10,30.66260159,3.686145862,Robert Baker,1152,18,1,3
11,3.604900119,6.692511396,ball,1152,18,1,3
1,9.784741439,-1.157441015,Devon Goodman,1151,17,1,3
2,29.49343961,16.11245674,AJ Brodeur,1151,17,1,3
3,3.838730069,28.53876761,Jordan Dingle,1151,17,1,3
4,0.231036539,7.895057609,Ryan Betley,1151,17,1,3
5,34.10327023,14.70948615,Max Martz,1151,17,1,3
6,15.26309291,0.679780328,Christian Juzang,1151,17,1,3
7,29.49343961,15.711608,Chris Lewis,1151,17,1,3
8,4.239584905,2.884448386,Noah Kirkwood,1151,17,1,3
9,20.27377837,13.70736431,Justin Bassey,1151,17,1,3
10,31.09685896,10.30015004,Robert Baker,1151,17,1,3
11,air,air,ball,1151,17,1,3
1,16.63268231,27.73707013,Devon Goodman,1144,27,1,4
2,29.05918224,9.899301299,AJ Brodeur,1144,27,1,4
3,9.41729525,10.09972567,Jordan Dingle,1144,27,1,4
4,36.07414188,13.07268918,Ryan Betley,1144,27,1,4
5,26.25319839,21.08966394,Max Martz,1144,27,1,4
6,16.63268231,34.71852102,Christian Juzang,1144,27,1,4
7,31.06345643,6.859533742,Chris Lewis,1144,27,1,4
8,47.49850473,11.6697186,Noah Kirkwood,1144,27,1,4
9,3.404472701,10.26674801,Justin Bassey,1144,27,1,4
10,33.66901286,25.49900005,Robert Baker,1144,27,1,4
11,16.83310973,34.71852102,ball,1144,27,1,4
1,19.43866616,26.46771376,Devon Goodman,1143,26,1,4
2,27.4557629,9.030793661,AJ Brodeur,1143,26,1,4
3,10.0185775,14.84310036,Jordan Dingle,1143,26,1,4
4,37.27670639,16.81394203,Ryan Betley,1143,26,1,4
5,27.4557629,16.21266892,Max Martz,1143,26,1,4
6,20.44080326,33.24874028,Christian Juzang,1143,26,1,4
7,30.66260159,7.193572318,Chris Lewis,1143,26,1,4
8,44.49209345,16.41309329,Noah Kirkwood,1143,26,1,4
9,2.602763028,9.598664745,Justin Bassey,1143,26,1,4
10,32.06559352,18.81818572,Robert Baker,1143,26,1,4
11,20.44080326,33.85001339,ball,1143,26,1,4
1,18.60354784,24.99793913,Devon Goodman,1142,25,1,4
2,28.89215736,9.899301299,AJ Brodeur,1142,25,1,4
3,14.0605284,16.51330547,Jordan Dingle,1142,25,1,4
4,35.70668958,23.52815839,Ryan Betley,1142,25,1,4
5,31.09685896,15.711608,Max Martz,1142,25,1,4
6,16.26523,31.34470877,Christian Juzang,1142,25,1,4
7,30.4955767,10.30015004,Chris Lewis,1142,25,1,4
8,38.71310085,24.93112897,Noah Kirkwood,1142,25,1,4
9,5.642576833,17.11457858,Justin Bassey,1142,25,1,4
10,33.70241539,19.92051975,Robert Baker,1142,25,1,4
11,15.26309291,31.34470877,ball,1142,25,1,4
1,15.99799141,19.82030756,Devon Goodman,1141,24,1,4
2,29.09258477,9.298028192,AJ Brodeur,1141,24,1,4
3,12.05625422,21.12306596,Jordan Dingle,1141,24,1,4
4,28.2908751,21.5239147,Ryan Betley,1141,24,1,4
5,31.69814121,16.51330547,Max Martz,1141,24,1,4
6,13.25881873,23.72858275,Christian Juzang,1141,24,1,4
7,31.89856863,8.897179454,Chris Lewis,1141,24,1,4
8,37.51053634,24.53028023,Noah Kirkwood,1141,24,1,4
9,10.65326229,25.73282644,Justin Bassey,1141,24,1,4
10,39.51481052,19.92051975,Robert Baker,1141,24,1,4
11,12.05625422,26.33409955,ball,1141,24,1,4
